Número doprocesso - SIPAC/SIGAA;Ano do registro;Título da atividade;Nome do (a) Coordenador (a);Local de lotação do (a) Coordenador (a);Data de início da atividade;Data de termino da atividade;Relatório Final;Receita (Prevista);Receita (Realizada)
23088.020265/2017-63;2017;MiniCueso de Introdução à Latex;THATYANA DE FARIA PIOLA SERAPHIM;IESTI;14/10/17;21/10/17;Sim;R$ 0,00;R$ 0,00
23088.021197/2017-50;2017;Java WEB;THATYANA DE FARIA PIOLA SERAPHIM;IESTI;21/10/17;14/11/17;Sim;R$ 0,00;R$ 0,00
23088.024648/2017-19;2017;Contrato de revisão Técninca com Cessão de Direitos Autorais;THATYANA DE FARIA PIOLA SERAPHIM;IESTI;12/12/17;11/12/18;Sim;R$ 0,00;R$ 0,00
23088.001056/2019-82;2019;III Semana de Engenharia Elétrica (SEMEEL);THIAGO CLÉ DE OLIVEIRA;ISEE;27/08/18;06/09/18;Sim;R$ 0,00;R$ 0,00
23088.006179/2017-48;2017;VI Encontro Sul-Mineiro de Ensino de Física (VI ESMEF);THIAGO COSTA CAETANO;IFQ;04/09/17;06/09/17;Sim;R$ 5.016,00;R$ 3.800,00
23088.020893/2018-20;2018;Projeto, montagem e instrumentação de um protótipo experimental para controle de processos;THIAGO VAZ DA COSTA;IRN;01/04/18;01/04/19;Não;R$ 0,00;R$ 0,00
23088.020897/2018-16;2018;Desenvolvimento de uma plataforma para monitoramento e aplicação experimental de técnicas de controle avançado;THIAGO VAZ DA COSTA;IRN;01/09/18;01/02/19;Sim;R$ 0,00;R$ 0,00
23088.006500/2017-94;2017;Cooperação Técnica e Científica para desenvolvimento e realização de atividades na área de enfermagem;TIAGO VITOI ESAÚ RIBEIRO;DPE;17/04/17;17/04/18;Sim;R$ 0,00;
23088.005493/2016-22;2016;Workshop de Lean;JOAO BATISTA TURRIONI;;05/04/16;05/04/16;Não;R$ 0,00;R$ 0,00
23499.001137/2015-17;2019;Projeto de Microaeronaves para o campus Unifei em Itabira;VAGNER FERREIRA DE OLIVEIRA;IEI;03/06/15;29/11/15;Sim;R$ 0,00;R$ 0,00
23088.004700/2017-11;2017;"Coorientação do trabalho ""Analise da resistência à flexão e fissuração em vigas com fibras de bambu";VALQUIRIA CLARET DOS SANTOS;IRN;01/04/16;01/03/17;Sim;R$ 0,00;
23088.005802/2019-15;2019;Wrecking Ball - Competições em Concreto;VALQUIRIA CLARET DOS SANTOS;IRN;25/02/19;09/12/19;Não;R$ 23.862,27;
23088.007842/2016-41;2016;Projeto de Combate a incêndio;VALQUIRIA CLARET DOS SANTOS;IRN;12/04/16;09/06/16;Sim;R$ 0,00;R$ 0,00
23088.011518/2018-99;2018;Wrecking Ball - Competições em Concreto;VALQUIRIA CLARET DOS SANTOS;IRN;26/02/18;07/12/18;Sim;R$ 10.000,00;R$ 15.331,91
23088.015268/2017-85;2018;Wrecking Ball - Competições em Concreto;VALQUIRIA CLARET DOS SANTOS;IRN;20/02/17;01/12/17;Sim;R$ 0,00;R$ 0,00
23088.006271/2019-70;2019;Coleta Seletiva - Campanha de conscientização, engajamento do cidadão itajubense e empoderamento dos catadores locais;VICTOR EDUARDO DE MELLO VALÉRIO;IEPG;29/01/19;31/12/19;Não;R$ 10.000,00;
PD001-2019;2019;Drops de Economia e Finanças do Grupo Denarius;VICTOR EDUARDO DE MELLO VALÉRIO;IEPG;06/12/18;03/12/19;Não;R$ 0,00;R$ 0,00
23499.000492/2017-31;2018;Terça Literária;VINICIUS SOUZA NASCIMENTO;Itabira;07/04/17;15/12/17;Sim;R$ 0,00;R$ 0,00
23088.005401/2019-57;2019;Expressões econômicas e culturais da feira-livre e a importância da formação dos feirantes para a economia solidária;VIVIANE GUIMARÃES PEREIRA;IEPG;12/03/19;31/12/19;Não;R$ 10.000,00;
23088.007822/2017-51;2017;Economia Solidária na Peroba - Itajubá MG: geração de renda e emancipação social das mulheres rurais;VIVIANE GUIMARÃES PEREIRA;IEPG;03/04/17;15/12/17;Sim;R$ 7.659,60;R$ 7.282,00
23088.013127/2018-17;2018;Economia Solidária na Peroba - Itajubá - MG: Fortalecendo as Práticas de comercialização da agricultura familia;VIVIANE GUIMARÃES PEREIRA;IEPG;09/07/18;11/02/19;Sim;R$ 0,00;R$ 0,00
23088.015434/2016-62;2016;II Seminário Sobre Agricultura Familiar e Desenvolvimento Rural;VIVIANE GUIMARÃES PEREIRA;IEPG;05/10/16;07/10/16;Sim;R$ 0,00;R$ 0,00
23088.019261/2016-51;2016;Seminário de Economia Solidária: desafios e perspectivas;VIVIANE GUIMARÃES PEREIRA;IEPG;10/11/16;10/11/17;Sim;R$ 0,00;R$ 0,00
23088.024064/2018-16;2018;II Seminário de Economia Popular Solidária e V Encontro de Grupos Incubados;VIVIANE GUIMARÃES PEREIRA;IEPG;26/11/18;27/11/18;Sim;R$ 2.382,72;R$ 2.382,72
23088.008687/2017-61;2017;Participação no curso de curta duração - QPSE - Geração Térmica II;VLADIMIR RAFAEL MELIAN COBAS;IEM;08/03/17;10/03/17;Sim;R$ 25.991,32;R$ 25.991,32
23088.008773/2017-73;2017;Participação mo curso de curta duração - QPSE - Geração Térmica I;VLADIMIR RAFAEL MELIAN COBAS;IEM;13/02/17;17/02/17;Sim;R$ 17.518,72;R$ 8.759,36
23499.001071/2017-27;2018;SEMECO - Semana da Engenharia de Computação;WALTER AOIAMA NAGAI;Itabira;15/05/17;01/09/17;Sim;R$ 0,00;R$ 0,00
23088.021102/2019-60;2019;Divulgação científica nas paredes do IFQ;WILTON DA SILVA DIAS;IFQ;10/10/19;01/01/21;Não;R$ 0,00;R$ 0,00
23088.001813/2018-37;2018;Equipe Uirá - Projeto Sae Aerodesing;YOHAN ALI DIAZ MENDEZ;IEM;21/11/18;30/01/19;Sim;R$ 10.500,00;R$ 10.000,00
23088.005908/2019-19;2019;Equipe Uirá - Projeto SAE Aerodesign;YOHAN ALI DIAZ MENDEZ;IEM;01/02/19;30/01/20;Não;R$ 10.000,00;
23088.001103/2019-98;2019;Interpretação Simultânea Português - Espanhol para a Tradworks;YOHAN ALÍ DÍAZ MÉNDEZ;IEM;28/01/19;31/01/19;Sim;R$ 1.800,00;R$ 1.800,00
23088.020935/2016-61;2016;Curso de Qualificação em Sistemas Elétricos - Estabilidade e Dinâmica de Sistemas Elétricos II;ZULMAR SOARES MACHADO JÚNIOR ;ISEE;19/09/16;23/09/16;Sim;R$ 2.450,00;R$ 2.450,00
23088.023528/2017-96;2017;Participação no curso de curta duração – INTERAÇÃO DO GERADOR AO SISTEMA ELÉTRICO;ZULMAR SOARES MACHADO JÚNIOR ;ISEE;21/08/17;25/08/17;Sim;R$ 5.520,00;R$ 5.048,15
;;;;;;;;;
