Número doprocesso - SIPAC/SIGAA;Ano do registro;Título da atividade;Nome do (a) Coordenador (a);Local de lotação do (a) Coordenador (a);Data de início da atividade;Data de termino da atividade;Relatório Final;Receita (Prevista);Receita (Realizada)
PJ081-2022;2022;CONSCIENCIA: ORGANIZACAO DA COLETA SELETIVA NAS REPUIBLICAS ESTUDANTIS ITAJUBA MG;DENISE RANSOLIN SORANSO;IEPG;01/04/2022;31/12/2022;NÃO;R$10.000,00;
PJ080-2022;2022;COLOQUIOS INTERDISCIPLINARES;EDUARDO HENRIQUE SILVA BITTENCOURT;IFQ;01/04/2022;31/12/2022;NÃO;R$9.600,00;
PJ078-2022;2022;APLICATIVO MOVEL PARA O POSICIONAMENTO DE PESSOAS COM DEFICIÊNCIA VISUAL DENTRO DE PRÉDIOS.;LINA MARIA GARCES RODRIGUEZ;IMC;01/04/2022;31/12/2022;NÃO;R$10.000,00;
CR015-2022;2022;FUNCAMENTOS DE EDUCACAO MATEMATICA CRITICA E JUSTICA SOCIAL: REPENSANDO A PRATICA DOCENTE;JOAO RICARDO NEVES DA SILVA;IFQ;18/04/2022;27/06/2022;NÃO;;
CR014-2022;2022;CURSO BASICO DE PLANILHA ELLETRONICA - EXCEL 1;CARLOS HENRIQUE PEREIRA MELLO;IEPG;04/04/2022;26/08/2022;NÃO;;
PJ105-2022;2022;TIME ENACTUS UNIFEI ITAJUBA;LUIZ EUGENIO VENEZIANI PASIN;IEPG;22/03/2022;31/12/2022;NÃO;;
PJ104-2022;2022;CISCO NETWORKKING ACADEMY;LUIZ LENARTH GABRIEL VERMAAS;IESTI;28/03/2022;31/12/2022;NÃO;;
PJ103-2022;2022;MAPA DE ATIVIDADES ÁRA PLANEJAMENTO DE CURSOS EAD (MOOC);DANIELLA RIBEIRO LOPES;NEOA;01/04/2022;09/12/2022;NÃO;;
PJ100-2022;2022;DIVULGACAO BOTANICA:FLORA DA MANTIQUEIRA;HISAIAS DE SOUZA ALMEIDA;IRN;01/04/2022;31/12/2022;NÃO;R$9.970,45;
PJ098-2022;2022;FEIRA DE SAUDE COMUNITARIA ITABIRANA;FELIPE PEREIRA ROCHA;ICPA;01/04/2022;31/12/2022;NÃO;R$9.900,00;
