Número doprocesso - SIPAC/SIGAA,Ano do registro,Título da atividade,Nome do (a) Coordenador (a),Local de lotação do (a) Coordenador (a),Data de início da atividade,Data de termino da atividade,Relatório Final,Receita (Prevista),Receita (Realizada)
23088.003385/2017-04,2017,ROBOK – FUTEBOL DE ROBOS,LUIZ LENARTH GABRIEL VERMAAS,IESTI,1/1/2017,31/12/2017,SIM," R$ 10.000,00 ", R$ -   
23088.003435/2017-45,2017,EX MACHINA,JULIANA CAMINHA NORONHA,IEPG,1/1/2017,31/12/2017,SIM, R$ -   , R$ -   
23088.003437/2017-34,2017,ECOVEICULO,JOSE HAMILTON CHAVES GORGULHO JUNIOR,IEPG,1/1/2017,31/12/2017,SIM," R$ 73.500,00 "," R$ 56.500,00 "
23088.021079/2016-61,2016,1º BUSINESS MODEL INTERNATIONAL MEETING - BRAZIL & DENMARK                                     ,ELZO ALVES ARANHA,IEPG,1/12/2016,15/2/2016,SIM, R$ -   , R$ -   
23088.000348/2017-36,2017,CERTIFICACAO E ENSAIOS DE PRODUTOS DE TECNOLOGIA E TELECOMUNICACAO,JOSE CARLOS GRILLO RODRIGUES,ISEE,1/1/2017,31/12/2017,NÃO," R$ 141.370,00 ",
23088.000326/2017-76,2017,XXII CONGRESSO REGIONAL DOS ESTUDANTES DE ENGª QUIMICA COREEQ,MAXIMILIAN JOACHIM HODAPP,IRN,23/7/2017,30/7/2017,SIM, R$ -   , R$ -   
23088.003656/2017-13,2017,PROGRAMACAO,RAFAEL DE MOURA MOREIRA,IESTI,4/3/2017,4/3/2018,SIM, R$ -   , R$ -   
23088.002064/2017-84,2017,BEYOND ROCKET DESING,HELCIO FRANCISCO VILLA NOVA,IEM,6/10/2016,1/1/2018,SIM, R$ -   , R$ -   
23088.004242/2017-10,2017,CENTRO DE ESTUDANTES VOLUNTARIOS AMIGOS DE ITAJUBA,LUIZ EUGENIO VENEZIANI PASIN,IEPG,1/3/2017,30/12/2017,SIM, R$ -   , R$ -   
23088.003489/2017-19,2017,EPIC CODERS – MARATONA DE PROGRAMACAO,EDMILSON MARMO MOREIRA,IESTI,1/1/2017,31/12/2017,SIM," R$ 83.000,00 "," R$ 40.000,00 "
23088.003489/2017-19,2017,EPIC CODERS – MARATONA DE PROGRAMACAO,ROBERTO AFFONSO DA COSTA JUNIOR,IMC,1/1/2017,31/12/2017,SIM, R$ -   , R$ -   
23088.004250/2017-58,2017,DESENVOLVIMENTO DE UM PRODUTO EM PEEK/CARBONO PARA REFORCO INTERNO DE SELOS,ANTONIO CARLOS ANCELOTTI JUNIOR,IEM,7/3/2017,20/12/2017,NÃO," R$ 23.284,50 ",
23088.003288/2017-11,2017,COYOTES MOTORACING ,ANTONIO CARLOS ANCELOTTI JUNIOR,IEM,1/1/2017,31/12/2017,SIM," R$ 23.700,00 "," R$ 10.000,00 "
23088.017928/2016-81,2016,COMO PREPARAR MEU FUTURO FINANCEIRO,ANDRE LUIZ MEDEIROS,IEPG,20/9/2016,21/9/2016,SIM, R$ -   , R$ -   
23088.004669/2017-18,2017,PROJETO DE COMPETICAO TECNOLOGICA ,ALEXANDRE CARLOS BRANDAO RAMOS,IMC,26/2/2017,26/2/2018,SIM," R$ 55.263,16 "," R$ 10.000,00 "
23088.004700/2017-11,2017,"COORIENTACAO DO TRABALHO ""ANALISE DA RESISTENCIA À FLEXAO E FISSURACAO EM VIGAS COM FIBRAS DE BAMBU",VALQUIRIA CLARET DOS SANTOS,IRN,1/4/2016,1/3/2017,SIM, R$ -   , R$ -   
23088.004807/2017-51,2017,TIME ENACTUS - ENTREPRENEURIAL ACTION US,LUIZ EUGENIO VENEZIANI PASIN,IEPG,20/3/2017,31/12/2017,SIM, R$ -   , R$ -   
23088.005013/2017-12,2017,FOMACAO BÀSICA DE TUTORIA,CLAUDIA ELIANE DA MATTA,ISEE,22/3/2017,13/4/2017,SIM, R$ -   , R$ -   
23088.005471/2017-43,2017,USABILIDADE E EQUIPAMENTOS MEDICOS: INSERINDO OS ATRIBUTOS DE USABILIDADE NO DESENVOLVIMENTO DE PRODUTOS PARA A SAUDE,RODRIGO MAXIMIANO ANTUNES DE ALMEIDA,IESTI,3/4/2017,4/4/2017,SIM, R$ -   , R$ -   
23088.005537/2017-03,2017,XXXI ENCONTRO REGIONAL DA SOCIEDADE BRASILEIRA DE QUIMICA DE MINAS GERAIS,MAURICIO SILVA DOS SANTOS,IFQ,24/11/2017,26/11/2017,SIM," R$ 79.200,00 "," R$ 75.158,68 "
23088.006173/2017-17,2017,FLIPERAMAAA,ENZO SERAPHIM,DSI,8/4/2017,8/4/2017,SIM, R$ -   , R$ -   
