Código,Data Início,Data Fim,TÍTULO DO PROJETO,Órgão financiador, Coordenador/Coordenador Local,UA Coordenador
PIDI422-2023,1/11/2023,31/10/2026,Mapeamento da cafeicultura do Sul de Minas utilizando dados do Brazil Data Cube e Inteligência Artificial,Não possui,VANESSA CRISTINA OLIVEIRA DE SOUZA,IMC
PVDI431-2023,1/11/2023,31/10/2026,Órbitas periódicas e toros invariantes em R^N,Não possui,BRAULIO AUGUSTO GARCIA,IMC
PIDI423-2023,1/11/2023,31/10/2026,Desenvolvimento de uma ferramenta de aprendizado de máquina baseada em k-mer para identificação de genomas de arbovírus,Não possui,LUIZ CARLOS BERTUCCI BARBOSA,IRN
PIDI428-2023,1/11/2023,31/10/2026,Controle de Emissões de Sistemas de Esgoto: Telhado Verde Fotovoltaico para Cidade Resiliente e Sustentável,Não possui,HERLANE COSTA CALHEIROS,IRN
PIDI438-2023,1/11/2023,31/10/2026,Revestimento de ligas a base de molibdênio com camadas de alta resistência à oxidação obtidas por HAPC (Halide Activated Pack Cementation),Não possui,MARCIA REGINA BALDISSERA RODRIGUES,IRN
PVDI434-2023,1/11/2023,31/10/2026,Análise das características sinóticas do ciclone Yakecan,Não possui,Michelle Simões Reboita,IRN
PVDI436-2023,1/11/2023,31/10/2026,"FERRAMENTAS COMPUTACIONAIS PARA MODELAGEM, SIMULAÇÃO E ANÁLISE DE DADOS NA ENGENHARIA DE BIOPROCESSOS",Não possui,GUILHERME YOUSSEF RODRIGUEZ,IRN
PVDI445-2023,1/11/2023,31/10/2026,"Análise multitemporal do uso e ocupação do solo na microbacia hidrográfica do ribeirão José Pereira, no município de Itajubá (MG)",Não possui,NIVEA ADRIANA DIAS PONS,IRN
PVDI416-2023,1/11/2023,31/10/2026,Estudo de vulnerabilidades e aplicação de WASM,Não possui,BRUNO TARDIOLE KUEHNE,IESTI
PVDI442-2023,1/11/2023,31/10/2026,Desenvolvimento de Dispositivo Centralizado de Proteção e Controle para uma Subestação 4.0 – CPC-Unifei,Não possui,CARLOS ALBERTO VILLEGAS GUERRERO,ISEE
PVDI443-2023,1/11/2023,31/10/2026,Eletromobilidade urbana: impacto da tecnologia de recarga dinâmica de veículos elétricos nas redes de distribuição elétrica de centros urbanos,Não possui,ELIANE VALENCA NASCIMENTO DE LORENCI,ISEE
PIDI418-2023,1/11/2023,31/10/2026,Fabricação de eletrodos de silício nanoestruturado para uso em baterias de lítio e sódio,Não possui,DANILO ROQUE HUANCA,IFQ
PVDI441-2023,1/11/2023,31/10/2026,Estudos da geração de energia à partir do tratamento de resíduos por acoplamento de diferentes processos,Não possui,MILADY RENATA APOLINARIO DA SILVA,IFQ
PVDI425-2023,1/11/2023,31/10/2026,MICROPLÁSTICOS COMO VETORES DE TRANPORTE DE CONTAMINANTES EMERGENTES NO RESERVATÓRIO DE FURNAS (MG) ,Não possui,SANDRO JOSE DE ANDRADE,IFQ
PVDI414-2023,1/11/2023,31/10/2026,A utilização de experimentos controlados remotamente no Ensino de Ciências: um levantamento das principais demandas formativas dos docentes ,Não possui,THIAGO COSTA CAETANO,IFQ
PVDI455-2022,1/3/2022,28/2/2025,Caracterização de propriedades térmicas dos óxidos precursores e crescimento de monocristais conversores de energia através da técnica Bridgman-Stockbarger,CNPq,MARIA VIRGINIA GELFUSO,IEM
PVDI457-2023,2/12/2023,31/12/2026,Novos protótipos pirazólicos e inibidores de FAK como estratégias para o tratamento da doença de Chagas,CNPq,MAURICIO SILVA DOS SANTOS,IFQ
PVDI458-2023,8/8/2023,31/12/2026,"MAPEAMENTO DO POTENCIAL TÉCNICO, ECONÔMICO E AMBIENTAL DE ALTERNATIVAS PARA DESCARBONIZAÇÃO DO SETOR INDUSTRIAL MINEIRO ATRAVÉS DO USO DE HIDROGÊNIO RENOVÁVEL E/OU GÁS NATURAL SINTÉTICO”",FAPEMIG,Osvaldo José Venturini,IEM
PVDI459-2023,1/4/2023,31/3/2026,Dinâmica e controlabilidade em problemas de reação e difusão dos tipos mono-estável e bi-estável,CNPq,MAICON SONEGO,IMC
PIDI460-2023,23/11/2023,22/11/2026,Desenvolvimento e otimização de um sistema catalítico heterogêneo para a produção contínua de fruto-oligossacarídeos utilizando impressão 3D e fluidodinâmica computacional.,CNPq,MAXIMILIAN JOACHIM HODAPP,IRN
PVDI461-2023,1/9/2023,1/9/2025,DESENVOLVIMENTO DE MATERIAIS E DISPOSITIVOS TERMOELÉTRICOS PARA RECICLAGEM DE ENERGIA,FAPEMIG,MARIA VIRGINIA GELFUSO,IEM
PVDI462-2023,23/11/2023,22/11/2026,Desenvolvimento de uma Base de Dados Termodinâmica para Ligas Multicomponentes do Sistema V-Zr-Nb-Hf-Cr,CNPq,ANTONIO AUGUSTO ARAUJO PINTO DA SILVA,IEM
PVDI465-2023,1/9/2023,31/8/2026,Eventos climáticos extremos no Sul de Minas Gerais: Projeções Futuras na Escala de Convecção Permitida,FAPEMIG,MICHELLE SIMOES REBOITA,IRN
PVDI468-2023,11/12/2023,31/12/2026,A Expossoma da América do Sul: caracterização e perspectivas futuras para a saúde da pele e dos cabelos,CNPq,MARCELO DE PAULA CORREA,IRN
PVDI466-2023,30/10/2023,29/10/2025,Estudos avançados em limpeza e condicionamento de gás de síntese oriundo da gaseificação de biomassa para geração de novos combustíveis sintéticos,FAPEMIG,DIEGO MAURICIO YEPES MAYA,IEM
PVDI490-2023,29/8/2023,28/8/2026,A produção acadêmica em Educação Ambiental no Brasil: o estado da arte de teses e dissertações produzidas entre 1981 e 2023,FAPEMIG,DANIELLE APARECIDA REIS LEITE,IFQ
PIDI527-2023,18/8/2023,18/12/2026,Quantificando letalidade e comportamento de peixes expostos a supersaturação gasosa em rios sob influência de usinas hidrelétricas,Companhia Energética SINOP,CARLOS BARREIRA MARTINEZ,IEM
PVDI529-2024,17/6/2024,17/6/2027,DESENVOLVIMENTO DE ESTRUTURAS INTELIGENTES POR MEIO DE MANUFATURA ADITIVA E IMPRESSÃO 4D,FAPEMIG,GUILHERME FERREIRA GOMES,IEM
PDIP01-2023,10/1/2023,10/1/2026,"Uai, me conta!",FAPEMIG,JANE RAQUEL SILVA DE OLIVEIRA,IFQ
PVDI531-2023,24/1/2023,31/1/2027,Estudos de atribuição das mudanças climáticas e geração de cenários e de indicadores de impacto em suporte à planejamentos de medidas de adaptação regional e local,CNPq,BENEDITO CLAUDIO DA SILVA,IRN
PIDI448-2023,6/6/2023,6/5/2025,Cromismo: Estudo Computacional de efeitos de misturas de solventes líquidos,FAPEMIG,JULIANA FEDOCE LOPES,IFQ
PIDI537-2022,12/9/2022,15/2/2025,Estratégias para modificação superficial de filmes de fluoreto de polivinilideno-trifluoretileno para estimulação do crescimento ósseo,FAPEMIG,ROSSANO GIMENES,IFQ
