Número de registro na DPI ,Título do Projeto,Data de Registro,Início da vigência,Témino da vigência,Status,Órgão Financiador, Recursos Internos , Recursos Externos ,Bolsa Pesquisa,Mestrado/Doutorado,IC,Participação     Inicio e fim,Coordenador,Instituto Vinculado,Observações,Nota de mérito (projetos sem financiamento externo)
Atualização em 12-2020,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
352,Influência de mediadores fenólicos na degradação de corantes por reação de Fentoncuprosa,24/6/2015,ago/15,jul/17,Expirado,,,,,,,08/2015 a 07/2017,André Aguiar Mendes,IRN,CANCELADO POR EMAIL DIA 20/10/2015 // Arquivado CAIXA 01/2020,"8,28"
353,"Inovação aberta, modelo de negócio aberto e criação de valor nas empresas brasileiras",24/6/2015,ago/15,ago/17,Expirado,,,,,,,08/2015 a 08/2017,Elzo alves Aranha ,IEPG,"Foi pedido alteração na viencia do projeto, porm não foi aceito pois não foi enviado o relatório de atividades, assim deferido apenas a inserção da aluna Juliana, pedido enviado em 22/02/2017","6,45"
354,Interações entre fontes de campo e/ou potenciais externos e efeitos decorrentes,24/6/2015,ago/15,nov/16,Expirado,,,,,,,08/2015 a 11/2016,Fabricio Augusto Barone Rangel,IFQ,Relatorio final entregue dia 23.04.2018 // Arquivado CAIXA 01/2020,10
355,Métodos Numéricos em Otimização,24/6/2015,ago/15,ago/17,Expirado,,,,,,,08/2015 a 08/2017,Rodrigo Silva Lima,IMC,,"8,65"
356,Modelagem e Otimização do Despacho de Geração Considerando Penetração de Renováveis e Mudanças Climáticas,24/6/2015,ago/15,jul/17,Expirado,,,,,,,08/2015 a 07/2017,Anderson Rodrigo de Queiroz,ISEE,,"6,63"
358,Modelagem numérica e análise aerotermodinâmica de sistemas hipersônicos com escoamento reativo,24/6/2015,ago/15,jul/16,Expirado,,,,,,,08/2015 a 07/2016,Helcio Francisco Villa Nova,IEM,Relatório entregue por E-mail dia 22/09/2016 // Arquivado CAIXA 01/2020,"8,65"
359,Modelos de computação natural aplicados à solução de problemas de classificação e agrupamento de dados,24/6/2015,jul/15,jun/17,Expirado,,,,,,,07/2015 a 06/2017,Isabela Neves Drummond,IMC,"Alterada a vigencia em 30 de Maio, entregou relatório parcial /Relatorio final entregue(07/2017) // Arquivado CAIXA 01/2020","9,07"
361,O fogo como agente seletor de linhagens de espécies regenerantes em floresta semidecidual,24/6/2015,ago/15,jul/17,Expirado,,,,,,,08/2015 a 07/2017,Hisaias de Souza Almeida,IRN,,"8,1"
362,O teatro de temática científica: relações entre a divulgação científica e a educação escolar,24/6/2015,ago/15,jul/17,Expirado,,,,,,,08/2015 a 07/2017,Jane Raquel Silva de Oliveira,IFQ,Relatório final entregue via SIPAC em 20/11/2017 // Arquivado CAIXA 01/2020,"8,78"
363,Otimização aerodinâmica de pontas de asa enflexadas para uma asa afilada,24/6/2015,ago/15,jul/17,Expirado,,,,,,,08/2015 a 07/2017,Rogerio Frauendorf de Faria Coimbra,IEM,Relatório Final Aprovado em 30/09/2020,"9,36"
364,Otimização de portfólios de contratos de energia elétrica: modelagem matemática e gerenciamento de riscos,24/6/2015,ago/15,jul/17,Expirado,,,,,,,08/2015 a 07/2017,Luana Medeiros Marangon Lima,ISEE,,"9,5"
365,Parceria entre a Universidade Federal de Itajubá e as Escolas Públicas de Educação Básica do Sul de Minas Gerais: potencialidades de um projeto de formação ampla de professores em um contexto colaborativo com um centro de ciências,24/6/2015,ago/15,jun/17,Expirado,,,,,,,08/2015 a 06/2017,João Ricardo Neves da Silva,IFQ,Relatório final entregue em 07/11/2017  // Arquivado CAIXA 01/2020,"7,51"
366,Práticas docentes nos ensinos universitário e médio:inovação no ensino pela pedagogia da autonomia,24/6/2015,jun/15,jun/17,Expirado,,,,,,,06/2015 a 06/2017,Rita de Cássia Magalhães Trindade Stano,IEPG,Relatório final entregue em 31/01/2018,"9,81"
367,Projeto e implementação de uma ferramenta para elaboração de objetos de aprendizagem baseados em Jogos Digitais para Ambientes Virtuais de Aprendizagem com padrão SCORM,24/6/2015,ago/15,dez/16,Expirado,,,,,,,08/2015 a 12/2016,Edmilson Marmo Moreira,IESTI,Relatório Final Aprovado em 02/06/2020,"9,78"
368,Projeto implantação de SMARTGRID no LGDC - (Laboratório de Geração distribuída e Cogeração) - EXCEN,24/6/2015,ago/15,abr/17,Expirado,SECTES,,"R$47.000,00",,,,08/2015 a 08/2016,Carlos Roberto Rocha,IRN,Projeto com fomento a partir do dia 11/02/2016 - Relatório final entregue em 19/05/2017 // Arquivado CAIXA 01/2020 ,"6,64"
369,Qualidade ambiental em espaços públicos no município de Itajubá,24/6/2015,ago/15,ago/17,Expirado,,,,,,,08/2015 a 08/2017,Daniele Ornaghi Sant'Anna,IRN,Relatório final entregue em 12/01/2018 // Arquivado CAIXA 01/2020,"7,94"
370,"Qualidade na Educação: autoridade, autonomia e responsabilidade no processo educacional.",24/6/2015,ago/15,ago/17,Expirado,,,,,,,08/2015 a 08/2017,Rogério Rodrigues,IFQ,Relatório Final entregue em 05/06/2018 // Arquivado CAIXA 01/2020,"6,63"
371,Resolução de problemas inversos de detecção de danos em estruturas metálicas e compósitas via técnicas de identificação de parâmetros e otimização,24/6/2015,jun/15,mai/17,Expirado,,,,,,,06/2015 a 05/2017,Patricia da Silva Lopes Alexandrino,IEM,Relatório final entregue em 17/05/2017 . // Arquivado CAIXA 01/2020,"9,72"
372,Ruído de tráfego de veículos e incômodo: estudo de associação,24/6/2015,ago/15,ago/16,Expirado,,,,,,,08/2015 a 08/2016,Luiz Felipe Silva,IRN,Relatório entregue em novembro/2018. RELATÓRIO REPROVADO PELO DIRETOR,"9,33"
373,Saneamento Rural no Sul de Minas Fase 2 - Concepção e análise da performance de biofiltro compartimentado aplicado ao pós-tratamento de esgotos ,24/6/2015,mar/14,fev/16,Expirado,,,,,,,03/2014 a 02/2016,Herlane Costa Calheiros,IRN,Relatório final entregue por memorando nº 596/2016 - IRN,"8,4"
374,Secagem de fertilizantes em leito fixo: estudo experimental e de simulação visando novas tecnologias,24/6/2015,ago/15,ago/17,Expirado,,,,,,,08/2015 a 08/2017,Hugo Perazzini,IRN,Relatorio final entregue em 08/05/2018 // Arquivado CAIXA 01/2020,"7,86"
375,Síntese e caracterização de compostos de coordenação contendo unidades dimetálicas de cobre,24/6/2015,jul/15,jun/17,Expirado,,,,,,,07/2015 a 06/2017,Geise Ribeiro,IFQ,Relatório final entregue e aprovado em 12/07/17 // Arquivado CAIXA 01/2020,7
376,Síntese e caracterização de novas piridazin-3(2H)-onas derivadas de furanonashalogenadas e sulfonamidas,24/6/2015,jun/15,jun/17,Expirado,,,,,,,06/2015 a 06/2017,Eder do Couto Tavares,IFQ,Alteração em Registro de Pesquisa dia 11/07/2016. Memorando nº 15/2016 - DPI - Relatorio Final entregue 11/05/2018 // Arquivado CAIXA 01/2020,"7,28"
377,"Síntese, caracterização e avaliação da atividade antileishmania de novos derivados pirazólicos",24/6/2015,jun/15,mai/16,Expirado,,,,,,,06/2015 a 05/2016,Maurício Silva dos Santos,IFQ,Relatório final entregue e aprovado em 06/07/17  // Arquivado CAIXA 001/2020,"9,2"
378,Sobre as Singularidades Determinantais Essencialmente Isoladas,24/6/2015,ago/15,jul/17,Expirado,,,,,,,08/2015 a 07/2017,Nancy Carolina Chachapoyas Siesquén,IMC,Relatório Final Aprovado em 30/09/2020,"9,85"
379,"Taxonomia e bionomia de imaturos de besouros elateroidea da reserva biológica municipal da serra dos toledos, itajubá-mg",24/6/2015,jun/15,jun/17,Expirado,,,,,,,06/2015 a 06/2017,Simone Policena Rosa,IRN,Relatório final entregue em 31/07/2017  // Arquivado CAIXA 01/2020,"9,57"
380,"Tecnologias, Educação e Diversidade",24/6/2015,ago/15,jul/17,Expirado,,,,,,,08/2015 a 07/2017,Denise Pereira de Alcântara Ferraz,IFQ,Relatorio final entregue em 08/02/2018,"8,82"
381,Termoacumulação em meio sólido incorporada a sistemas de cogeração,24/6/2015,jul/15,jun/17,Expirado,,,,,,,07/2015 a 06/2017,Roberto Alves de Almeida,IRN,,"8,96"
382,Uma ferramenta visual para elaboração de Web services compostos,24/6/2015,ago/15,jul/17,Expirado,,,,,,,08/2015 a 07/2017,Bruno Tardiole Kuehne,IESTI,Relatório final entregue (28/09/2017) // Arquivado CAIXA 01/2020,"9,89"
383,Uso de trans-sériesresurgentes em Mecânica Quântica,24/6/2015,ago/15,jul/16,Expirado,,,,,,,08/2015 a 07/2016,Ricardo Iván Medina Bascur,IMC,RELATORIO ENTREGUE 01/02/2017 // Arquivado CAIXA 01/2020,6
384,Utilização de filtros em imagens digitais,24/6/2015,set/15,ago/17,Expirado,,,,,,,09/2015 a 08/2017,Edison Oliveira de Jesus,IMC,,"6,34"
385,Utilização do modelo de mesoescala WRF para previsão de geada na Região da Serra da Mantiqueira,24/6/2015,ago/15,jul/18,Expirado,,,,,,,08/2015 a 07/2018,Vanessa Silveira Barreto Carvalho,IRN,Prorrogação de vigência  em 06/07/17 - Relatório de conclusão entregue dia 29.01.2019  // Arquivado CAIXA 01/2020,"9,36"
386,Velocidade de propagação de raios de luz não polarizada.,24/6/2015,mar/15,abr/16,Expirado,,,,,,,03/2015 a 04/2016,Renato Klippert Barcellos,IMC,,9
