N�;Nome do Projeto;In��cio;T�mino;Status;�rg�o Financiador;Recursos Internos ;Recursos Externos ;Participa��o     Inicio e fim;Equipe;Instituto Vinculado;Cargo (Aluno/ Coordenador/ Professor);Carga Hor�ria;Observa��es;Nota;;
8;Propriedades Elétricas e Magnéticas de Semicondutore III-V e IV-VI para aplicação em Spintronica;01/11/2010;01/11/2012;;FAPEMIG;R$ 0,00;R$ 49.907,21;11/2010 a 11/2012;Geraldo Mathias Ribeiro;;Docente;5;;;;
8;Propriedades Elétricas e Magnéticas de Semicondutore III-V e IV-VI para aplicação em Spintronica;01/11/2010;01/11/2012;;FAPEMIG;R$ 0,00;R$ 49.907,21;11/2010 a 11/2012;Marcelos Lima Peres;IFQ;Docente;5;;;;
8;Propriedades Elétricas e Magnéticas de Semicondutore III-V e IV-VI para aplicação em Spintronica;01/11/2010;01/11/2012;;FAPEMIG;R$ 0,00;R$ 49.907,21;11/2010 a 11/2012;Paulo Henrique de Oliveira Rappl;;Docente;5;;;;
8;Propriedades Elétricas e Magnéticas de Semicondutore III-V e IV-VI para aplicação em Spintronica;01/11/2010;01/11/2012;;FAPEMIG;R$ 0,00;R$ 49.907,21;11/2010 a 11/2012;Valmir Antonio Chita;;Docente;5;;;;
9;Avaliação e desenvolvimento de tecnologias nas áreas de energia, petróleo, gás e meio ambiente ;01/12/2010;01/11/2013;Expirado;CAPES;R$ 0,00;R$ 12.960,00;12/2010 a 11/2013;Rogério José da Silva;IEM;Coordenador;6;Arquivado Caixa A;;;
9;Avaliação e desenvolvimento de tecnologias nas áreas de energia, petróleo, gás e meio ambiente ;01/12/2010;01/11/2013;;CAPES;R$ 0,00;R$ 12.960,00;12/2010 a 11/2013;Waldir de Oliveira;IEM;Docente;3;;;;
9;Avaliação e desenvolvimento de tecnologias nas áreas de energia, petróleo, gás e meio ambiente ;01/12/2010;01/11/2013;;CAPES;R$ 0,00;R$ 12.960,00;12/2010 a 11/2013;Genésio José Menon;IEM;Docente;3;;;;
9;Avaliação e desenvolvimento de tecnologias nas áreas de energia, petróleo, gás e meio ambiente ;01/12/2010;01/11/2013;;CAPES;R$ 0,00;R$ 12.960,00;12/2010 a 11/2013;Marcelo José Pirani ;IEM;Docente;3;;;;
10;Ambiente na Internet para Professores Desenvolverem Aplicações Educacionais com Realidade Aumentada;01/01/2011;01/01/2014;Expirado;CNPq;R$ 0,00;R$ 50.383,00;01/2011 a 01/2014;Claudio Kirner;IMC;Coordenador;12;Arquivado Caixa B;;;
10;Ambiente na Internet para Professores Desenvolverem Aplicações Educacionais com Realidade Aumentada;01/01/2011;01/01/2014;;CNPq;R$ 0,00;R$ 50.383,00;01/2011 a 01/2014;Mikael Frank Rezende Junior;IFQ;Docente;8;;;;
