Número de registro na DPI ;Título do Projeto;Data de Registro;Início da vigência;Témino da vigência;Status;Órgão Financiador; Recursos Internos ; Recursos Externos ;Bolsa Pesquisa;Mestrado/Doutorado;IC;Participação     Inicio e fim;Coordenador;Instituto Vinculado;Observações;Nota de mérito (projetos sem financiamento externo)
687;POTENCIAL DE APROVEITAMENTO ENERGÉTICO DE RESÍDUOS SÓLIDOS ORGÂNICOS NO CONTEXTO DA REDUÇÃO DE EMISSÕES LÍQUIDAS DE GASES DE EFEITO ESTUFA;;jan/18;jan/20;vigente;sem financiamento externo;;;;;;01/2018 a 01/2020;Regina Mambeli Barros;IRN;; 8,40 
688;Previsão de Tempo para o Sul de Minas Gerais: Validação e Experimentos Numéricos de Sensibilidade;23/01/2018;fev/18;jan/20;Vigente;sem financiamento externo;;;;;;02/18 a 01/20;Michelle Simões Reboita;IRN;; 8,90 
689;PROJETO DE REATORES PARA GASEIFICAÇÃO EM LEITO FIXO CO-CORRENTE UTILIZANDO FERRAMENTAS DE DESENHO ASSISTIDO POR COMPUTADOR E DINÂMICA DOS FLUIDOS COMPUTACIONAL (CAD & CFD);23/03/2018;jan/18;dez/20;Vigente;sem financiamento externo;;;;;;01/18 a 12/19;Diego Mauricio Yepes Maya;IEM;Prorrogado de 12/2019 para 12/2020 em 10/05/2019; 8,29 
690;Prospecção de Atmosferas de Exoplanetas;18/07/2018;jul/18;dez/19;Vigente;sem financiamento externo;;;;;;01/07/2018 a 12/2019;Gabriel Rodrigues Hickel;IFQ;; 9,79 
691;Recobrimento de ligas metálicas utilizando o processo de cementação em caixa, com haleto ativado;01/03/2018;mar/18;fev/21;vigente;sem financiamento externo;;;;;;mar/2018 a 02/2021;Geovani Rodrigues;IEM;; 9,22 
693;TRATAMENTO DE EFLUENTES APLICANDO COMBINAÇÕES DE PROCESSOS CONVENCIONAIS E PROCESSOS OXIDATIVOS AVANÇADOS ;;mar/18;jan/20;vigente;sem financiamento externo;;;;;;03/2018 à 01/2021;Milady Renata Apolinário da Silva;IFQ;; 8,84 
694;BIOCOMBUSTIVEIS: COMBUSTAO,ENERGIA E CICLOS NÃO CONVENCIONAIS;11/01/2018;mar/17;mar/20;Vigente;CNPq;;39.600,00;;;;03/2017 a 03/2020;Christian Jeremi Coronado Rodriguez;IEM;;
695;Metamodelagem aplicada à otimização via simulação;11/01/2018;jun/17;mai/20;Vigente;CNPq;;13.753,00;;;;06/17 a 05/20;Rafael de Carvalho Miranda;IEPG;;
696;Pesquisa do sistema de Radiação ultravioleta para inativação de larvas de Limnoperna Fortunei aplicável a unidades de refrigeração de usinas hidrelétricas;01/03/2017;nov/17;nov/20;Vigente;Furnas/eletrobrás;;1.063.096,98;;;;03/2017 a 03/2020;Carlos Barreira Martinez;IEPG;Registro provisório autorizado por Hektor S. M.;
698;Análise de custo e benefícios: Uma proposta de metodolgia aplicada em análise de imapacto regulatório;                                                                                                            27/03/2018;dez/17;dez/19;Vigente;CNPq;;R$207.800,00;;;;12/17 a 11/19;Edson de Oliveira Pamplona;IEPG;;
699;Análise numérica e experimental em transferência de calor usando técnicas de problemas inversos;29/03/2018;mar/18;fev/22;Vigente;CNPq;;39.600,00;;;;03/18 a 02/21;Sandro Metrevelle Marcondes de Lima e Silva;IEM;Enviou comprovante de entrega de prestação de contas/relatório final , via e-mail em 19/07/2018;
700;Otimização das condições de usinagem em materiais endurecidos ;17/04/2018;jan/18;dez/19;Vigente;FAPEMIG; R$ 500.000,00 ; R$ 25.200,00 ;;;;01/18 a 12/19;João Roberto Ferreira;IEPG;;
701;Desenvolvimento de módulos termoelétricos: Energia elétrica obtida pela conversão de calor residual ;18/04/2018;mar/18;fev/21;Vigente;CNPq;; R$ 39.600,00 ;;;;03/18 a 02/21;Maria Virginia Gelfuso;IEM;;
702;Desenvolvimento de um gerador cerâmico termoelétrico;18/04/2018;mar/18;fev/21;Vigente;CNPq;; R$ 39.600,00 ;;;;03/18 a 02/21;Daniel Thomazini;IEM;;
703;Estudo computacional de Sistemas Poliméricos por meio de métodos hibridos e sequenciais ;18/06/2018;mar/18;fev/21;Vigente;CNPq;; R$ 39.600,00 ;;;;03/18 a 02/21;Juliana Fedoce Lopes;IFQ;;
704;Captura via adsolubilização, de moléculas orgânicas de interesse, entre as lamelas de carboxilatos lamelares metálicos de: manganês (II), ferro (III), cobre (II) e zinco (II);27/06/2018;ago/18;jun/20;Vigente;sem financiamento externo;;;;;;08/18 a 06/20;Fabio da Silva Lisboa ;IFQ;; 10,00 
706;EDO Comunicação: analise de sua contribuição para o fortalecimento da participação social e dos objetivos de criação de uma unidade de conservação da natureza;Edital 01/2018;ago/18;jul/20;Vigente;sem financiamento externo;;;;;;08/2018 a 07/2020;Daniela R. T. Riondet-Costa;IRN;; 8,50 
707;Ambiente construído,  desenvolvimento e sociedade;Edital 01/2018;ago/18;ago/20;Vigente;sem financiamento externo;;;;;;08/2018 a 08/2020;Daniele Ornaghi Sant Anna;IRN;; 8,38 
708;Simulações computacionais e aprimoramento de rotinas aplicadas a sistemas de distribuição de água tendo em vista a melhoria de eficiência hidroenergética;Edital 01/2018;ago/18;jul/20;Vigente;sem financiamento externo;;;;;;08/2018 a 07/2020;Fernando das Graças Braga da Silva;IRN;; 6,56 
711;Análise da efetividade da prática da avaliação de impacto ambiental no sul de Minas Gerais;Edital 01/2018;ago/18;jul/20;Vigente;sem financiamento externo;;;;;;08/2018 a 07/2020;Maria Rita Raimundo e Almeida;IRN;; 8,13 
717;Estudo sobre conhecimentos e aprendizagens de professores e futuros professores em contextos colaborativos;Edital 01/2018;ago/18;dez/19;Vigente;sem financiamento externo;;;;;;08/2018 a 12/2019;Eliane Matesco Cristovão;IMC;; 7,00 
718;Problema de N-corpos estendidos e seus equilíbrios relativos;Edital 01/2018;jul/18;jul/20;Vigente;sem financiamento externo;;;;;;07/2018 a 07/2020;Lucas Ruiz dos Santos;IMC;; 8,50 
720;Tópicos Modernos em Teorias de Campo Integráveis;Edital 01/2018;ago/18;ago/20;Vigente;sem financiamento externo;;;;;;08/2018 a 08/2020;Alexis Roa Aguirre;IFQ;; 9,00 
721;Fatores de permanência e de evasão no curso de licenciatura em química da Unifei - Construção de um modelo de avaliação;Edital 01/2018;ago/18;jul/21;Vigente;sem financiamento externo;;;;;;08/2018 a 07/2021;Juliana Maria Sampaio Furlani;IFQ;; 8,13 
722;Investigação de propriedades elétricas em heteroestruturas análogas a Isolantes Topológicos;Edital 01/2018;jul/18;jul/20;Vigente;sem financiamento externo;;;;;;07/2018 a 07/2020;Sandra Nakamatsu;IFQ;; 8,50 
725;Identificação de Danos em Estruturas Aeronáuticas por meio de Métodos Inversos;Edital 01/2018;ago/18;ago/20;Vigente;sem financiamento externo;;;;;;08/2018 a 08/2020;Guilherme Ferreira Gomes;IEM;; 8,50 
727;Método de otimização por interseção normal à fronteirapara escores fatoriais ;;fev/16;fev/20;Vigente;CNPq;;57600;;;;02/2018 a 02/2020;Anderson Paulo de Paiva;IEPG;;
729;Sistema de baixo custo e alto rendimento para inspeção aérea e previsão de desastres;Demanda Universal - FAPEMIG ;mar/18;fev/21;Vigente;FAPEMIG  ;;65.921,86;;;;03/2018 à 02/2021;Alexandre Carlos Brandão Ramos;IMC;demanda Universal APQ 00234-18;10
730;Simulaçao de dispositivos electromagnéticos em computação de alto desempenho ;Demanda Universal - FAPEMIG ;mar/19;dez/21;Vigente;FAPEMIG  ;;R$ 39.994,50;;;;03/2019 à 12/2021;Mateus Augusto Faustino Chaib Junqueira;IESTI;;
731;Incorporação de previsões climáticas e hidrológicas na Gestão da Alocação no Rio São Francisco;;dez/17;nov/22;Vigente;CAPES;; R$ 269.000,00 ;;;;12/2017 à 11/2022;Benedito cláudio da Silva;IRN;;
732;Algoritmos para o problema  de dimensionamento de lote, estoque e roteirização com restrições de empacotamento;Chamada Universal - CNPq;fev/19;fev/21;Vigente;CNPq;; R$ 15.200,00 ;;;;02/2019 à 02/2021;Pedro Henrique del Bianco Hokama ;IMC;;
733;Relação entre a microfísica da fase mista das tempestades e as propriedades fésicas e elétricas dos relâmpagos ;Chamada Universal - CNPq;fev/19;fev/22;Vigente;CNPq;; R$ 27.640,00 ;;;;02/2019 à 02/2022;Enrique Vieira Mattos;IRN;;
735;Desenvolvimento Proteses para membros inferiores hibridas em impressão 3D ABS reforçadas com fibra de carbono/epóxi;Chamada Universal - CNPq;dez/18;dez/21;Vigente;CNPq;; R$ 25.000,00 ;;;;12/2018 à 12/2021;Guilherme Ferreira Gomes;IEM;;
736;Detecção de porosidade em materiais compósitos utilizando ondas ultrassônicas;Chamada Universal - CNPq;fev/19;jan/22;Vigente;CNPq;; R$ 20.000,00 ;;;;02/2019 a 01/2022;Paulo Pereira Junior;IEM;;
738;Projeções climáticas para a América do Sul: ciclo de vida da monção Sul Americana ;Chamada Universal - CNPq;jan/19;jan/22;Vigente;CNPq;; R$ 59.500,00 ;;;;01/2019 a 01/2022;Michelle Simões Reboita;IRN ;;
739;Monitoramento da camada limite planetária em sistemas aquáticos por plataformas flutuantes estabilizadas ;Chamada Universal - CNPq;mar/19;mar/21;Vigente;CNPq;; R$ 60.000,00 ;;;;03/2019 a 03/2021;Arcilan Trevenzoli Assireu;IRN;;
741;Evolução química de galáxias espirais: a conexão bojo-disco;Edital 005/2018;mar/19;mar/21;Vigente;sem financiamento externo;;;;;;03/2019 à 03/2021;Oscar Cavichia de Moraes;IFQ;;8,5
