Código,Data Início,Data Fim,TÍTULO DO PROJETO,Tipo,Órgão financiador, Coordenador/Coordenador Local,UA Coordenador,Situação
PIDI380-2023,01/08/2023,31/07/2026,Planejamento e Síntese de Derivados Heterocíclicos para Avaliação de Atividades Antiprotozoárias,Projeto sem financiamento externo,Não possui,MAURICIO SILVA DOS SANTOS,IFQ,Vigente
PVDI394-2023,01/08/2023,31/07/2026,Conversas com um cientista: encontros de alunos do ensino básico regular com um pesquisador da área de ciência dos materiais.,Projeto sem financiamento externo,Não possui,NEWTON DE FIGUEIREDO FILHO,IFQ,Vigente
PVDI376-2023,01/08/2023,31/07/2026,"MENINAS E MULHERES COM DEFICIÊNCIA: EDUCAÇÃO, CIÊNCIA E TECNOLOGIA",Projeto sem financiamento externo,Não possui,PALOMA ALINNE ALVES RODRIGUES,IFQ,Vigente
PIDI401-2023,01/08/2023,31/07/2026,"Desenvolvimento de Jogos Educativos para o Ensino de Lógica e Fundamentos de Programação: uma Abordagem com Foco no Game Design, no Entretenimento e no Conteúdo Pedagógico",Projeto sem financiamento externo,Não possui,PHYLLIPE DE SOUZA LIMA FRANCISCO,IMC,Vigente
PIDI404-2023,01/08/2023,31/07/2026,Café para todos: um estudo sobre a disponibilização de dados para apoiar a tomada de decisão no ciclo produtivo do café,Projeto sem financiamento externo,Não possui,MELISE MARIA VEIGA DE PAULA,IMC,Vigente
PVDI406-2023,01/08/2023,31/07/2026,Um estudo da transferência de aprendizado empregando modelos de aprendizado profundo,Projeto sem financiamento externo,Não possui,ISABELA NEVES DRUMMOND,IMC,Vigente
PVDI415-2023,01/08/2023,31/07/2026,Implementação de resultados de Pesquisas em Resolução e Proposição de Problemas: parcerias de coaprendizagem na formação de professores de matemática.,Projeto sem financiamento externo,Não possui,FLAVIA SUELI FABIANI MARCATTO,IMC,Vigente
PIDI392-2023,01/08/2023,31/07/2026,UTILIZAÇÃO DA LIGNINA COMO PLATAFORMA QUÍMICA PARA OBTENÇÃO DE PRODUTOS COM VALOR AGREGADO,Projeto sem financiamento externo,Não possui,JOSE RENATO GUIMARAES,IRN,Vigente
PIDI402-2023,01/08/2023,31/07/2026,Modelagem e simulação por fluidodinâmica computacional do processo de secagem de biomassas,Projeto sem financiamento externo,Não possui,MAXIMILIAN JOACHIM HODAPP,IRN,Vigente
PVDI377-2023,01/08/2023,31/07/2026,Microbiologia aplicada a trilhas ecológicas: bioindicadores e funcionalidade de ecossistemas,Projeto sem financiamento externo,Não possui,ROGERIO MELLONI,IRN,Vigente
PVDI385-2023,01/08/2023,31/07/2026,Qualidade dos Estudos de Impacto Ambiental e a preservação da qualidade ambiental,Projeto sem financiamento externo,Não possui,MARIA RITA RAIMUNDO E ALMEIDA,IRN,Vigente
PVDI399-2023,01/08/2023,31/07/2026,Investigação dos Impactos 3D nos Sistemas Elétricos Brasileiros,Projeto sem financiamento externo,Não possui,CLAUDIA ELIANE DA MATTA,ISEE,Vigente
PVDI426-2023,07/08/2023,07/08/2027,PREVISÃO DE PARÂMETROS ESTRUTURAIS E DE CUSTO DE MODELOS FABRICADOS VIA MANUFATURA ADITIVA POR MEIO DE TÉCNICAS DE DEEP LEARNING,Projeto com financiamento externo,FAPEMIG,MATHEUS BRENDON FRANCISCO,IEPG,Vigente
PVDI429-2023,05/08/2023,05/08/2027,Produção de H2 Verde em escala de laboratório a partir de sistemas solares FV e Testes Experimentais dual-fuel em motor multicilíndrico usando H2 Verde e HVO (diesel verde) importado e/ou produzido em laboratório,Projeto com financiamento externo,FAPEMIG,CHRISTIAN JEREMI CORONADO RODRIGUEZ,IEM,Vigente
PVDI449-2023,11/10/2023,09/10/2026,ESTUDOS EM MECÂNICA CELESTE: CONFIGURAÇÕES CENTRAIS E O PROBLEMA DE N CORPOS,Projeto com financiamento externo,FAPEMIG,Luis Fernando de Osório Mello,IMC,Vigente
PVDI450-2023,01/03/2023,28/02/2026,Modelos análogos em meios óticos,Projeto com financiamento externo,CNPq,VITORIO ALBERTO DE LORENCI,IFQ,Vigente
PVDI451-2023,22/08/2023,21/08/2025,Dinâmica e ruptura de bolhas de hidrogênio em microcanais com junções em T e em Y,Projeto com financiamento externo,FAPEMIG,ANA LUCIA FERNANDES DE LIMA E SILVA,IEM,Vigente
PIDI422-2023,01/11/2023,31/10/2026,Mapeamento da cafeicultura do Sul de Minas utilizando dados do Brazil Data Cube e Inteligência Artificial,Projeto sem financiamento externo,Não possui,VANESSA CRISTINA OLIVEIRA DE SOUZA,IMC,Vigente
PVDI431-2023,01/11/2023,31/10/2026,Órbitas periódicas e toros invariantes em R^N,Projeto sem financiamento externo,Não possui,BRAULIO AUGUSTO GARCIA,IMC,Vigente
PIDI423-2023,01/11/2023,31/10/2026,Desenvolvimento de uma ferramenta de aprendizado de máquina baseada em k-mer para identificação de genomas de arbovírus,Projeto sem financiamento externo,Não possui,LUIZ CARLOS BERTUCCI BARBOSA,IRN,Vigente
PIDI428-2023,01/11/2023,31/10/2026,Controle de Emissões de Sistemas de Esgoto: Telhado Verde Fotovoltaico para Cidade Resiliente e Sustentável,Projeto sem financiamento externo,Não possui,HERLANE COSTA CALHEIROS,IRN,Vigente
PIDI438-2023,01/11/2023,31/10/2026,Revestimento de ligas a base de molibdênio com camadas de alta resistência à oxidação obtidas por HAPC (Halide Activated Pack Cementation),Projeto sem financiamento externo,Não possui,MARCIA REGINA BALDISSERA RODRIGUES,IRN,Vigente
PVDI434-2023,01/11/2023,31/10/2024,Análise das características sinóticas do ciclone Yakecan,Projeto sem financiamento externo,Não possui,Michelle Simões Reboita,IRN,Expirado
PVDI436-2023,01/11/2023,31/10/2026,"FERRAMENTAS COMPUTACIONAIS PARA MODELAGEM, SIMULAÇÃO E ANÁLISE DE DADOS NA ENGENHARIA DE BIOPROCESSOS",Projeto sem financiamento externo,Não possui,GUILHERME YOUSSEF RODRIGUEZ,IRN,Vigente
PVDI445-2023,01/11/2023,31/10/2026,"Análise multitemporal do uso e ocupação do solo na microbacia hidrográfica do ribeirão José Pereira, no município de Itajubá (MG)",Projeto sem financiamento externo,Não possui,NIVEA ADRIANA DIAS PONS,IRN,Vigente
PVDI416-2023,01/11/2023,31/10/2026,Estudo de vulnerabilidades e aplicação de WASM,Projeto sem financiamento externo,Não possui,BRUNO TARDIOLE KUEHNE,IESTI,Vigente
PVDI442-2023,01/11/2023,31/10/2026,Desenvolvimento de Dispositivo Centralizado de Proteção e Controle para uma Subestação 4.0 – CPC-Unifei,Projeto sem financiamento externo,Não possui,CARLOS ALBERTO VILLEGAS GUERRERO,ISEE,Vigente
PVDI443-2023,01/11/2023,31/10/2026,Eletromobilidade urbana: impacto da tecnologia de recarga dinâmica de veículos elétricos nas redes de distribuição elétrica de centros urbanos,Projeto sem financiamento externo,Não possui,ELIANE VALENCA NASCIMENTO DE LORENCI,ISEE,Vigente
PIDI418-2023,01/11/2023,31/10/2026,Fabricação de eletrodos de silício nanoestruturado para uso em baterias de lítio e sódio,Projeto sem financiamento externo,Não possui,DANILO ROQUE HUANCA,IFQ,Vigente
PVDI441-2023,01/11/2023,31/10/2026,Estudos da geração de energia à partir do tratamento de resíduos por acoplamento de diferentes processos,Projeto sem financiamento externo,Não possui,MILADY RENATA APOLINARIO DA SILVA,IFQ,Vigente
PVDI425-2023,01/11/2023,31/10/2026,MICROPLÁSTICOS COMO VETORES DE TRANPORTE DE CONTAMINANTES EMERGENTES NO RESERVATÓRIO DE FURNAS (MG),Projeto sem financiamento externo,Não possui,SANDRO JOSE DE ANDRADE,IFQ,Vigente
