Código,Data Início,Data Fim,TÍTULO DO PROJETO,Tipo,Órgão financiador, Coordenador/Coordenador Local,UA Coordenador,Situação
PVDI532-2024,13/05/2024,14/06/2027,"Ciência, mídias e informação na escola: integrando vozes e promovendo protagonismos responsáveis",Projeto com financiamento externo,FAPEMIG,ALESSANDRA RODRIGUES,IFQ,Vigente
PVDI533-2024,01/03/2024,29/02/2028,"BIOCOMBUSTÍVEIS A PARTIR DE RESÍDUOS: COMBUSTÃO, ENERGIA E HIDROGÊNIO VERDE",Projeto com financiamento externo,CNPq,CHRISTIAN JEREMI CORONADO RODRIGUEZ,IEM,Vigente
PIDI482-2024,01/06/2024,31/05/2027,"Desempenho ambiental da Produção, Armazenamento, Transporte e Uso de Hidrogênio (PATU-H2) como fonte de energia",Projeto sem financiamento externo,Não possui,RAFAEL SILVA CAPAZ,IRN,Vigente
PIDI483-2024,01/06/2024,31/05/2027,MODELAGEM E SIMULAÇÃO DO PROCESSO DE RECICLAGEM DE PILHAS E BATERIAS,Projeto sem financiamento externo,Não possui,LETICIA FABRI TURETTA,IRN,Vigente
PIDI448-2023,06/06/2023,06/05/2025,Cromismo: Estudo Computacional de efeitos de misturas de solventes líquidos,Projeto com financiamento externo,FAPEMIG,JULIANA FEDOCE LOPES,IFQ,Vigente
PIDI537-2022,12/09/2022,15/02/2025,Estratégias para modificação superficial de filmes de fluoreto de polivinilideno-trifluoretileno para estimulação do crescimento ósseo,Projeto com financiamento externo,FAPEMIG,ROSSANO GIMENES,IFQ,Vigente
PVDI536-2024,01/01/2024,31/12/2027,Formação de Engenheiros Preparados para um Futuro com Hidrogênio Verde,Projeto com financiamento externo,CAPES,SEBASTIAO SIMOES DA CUNHA JUNIOR,IEM,Vigente
PIDI510-2024,01/08/2024,31/07/2027,ANÁLISE E OTIMIZAÇÃO DE MÚLTIPLAS CARACTERÍSTICAS PARA SISTEMAS AVANÇADOS EM SOLDAGEM DE REVESTIMENTO DE CHAPAS DE AÇO UTILIZANDO SISTEMAS DE SINAIS,Projeto sem financiamento externo,Não possui,PAULO HENRIQUE DA SILVA CAMPOS,IEPG,Vigente
PVDI501-2024,01/08/2024,31/07/2027,Segurança cibernética: IA e Computação quântica,Projeto sem financiamento externo,Não possui,OTÁVIO DE SOUZA MARTINS GOMES,IESTI,Vigente
PVDI506-2024,01/08/2024,31/07/2027,Estudo e desenvolvimento de redes neurais otimizadas para detecção de batimentos ventriculares prematuros (PVC).,Projeto sem financiamento externo,Não possui,ODILON DE OLIVEIRA DUTRA,IESTI,Vigente
PVDI518-2024,01/08/2024,31/07/2027,Desenvolvimento de um sistema de controle e monitoramento remoto para conversores eletrônicos de potência,Projeto sem financiamento externo,Não possui,ROBSON BAUWELZ GONZATTI,IESTI,Vigente
PIDI546-2024,01/07/2024,30/06/2027,Fabricação e caracterização óptica e elétrica de micro e nanotubos de silício baseados em silício poroso,Projeto com financiamento externo,FAPEMIG,DANILO ROQUE HUANCA,IFQ,Vigente
PIDI545-2024,23/07/2024,22/07/2027,Implantes MAGXILO - Desenvolvimento de ligas e implantes bioabsorvíveis à base de magnésio para aplicações maxilofaciais,Projeto com financiamento externo,FAPEMIG,BRUNO XAVIER DE FREITAS,IEM,Vigente
PVDI543-2023,11/12/2023,31/12/2026,Metamateriais Elastodinâmicos Projetados para a Atenuação de Vibrações em Estruturas Civis Formadas por Elementos de Barra Usando o Método dos Elementos Finitos Posicional e Métodos de Otimização Multiobjetivo,"Projeto com financiamento externo, de outra instituição",CNPq,CAROLINA QUINTERO RAMIREZ,IRN,Vigente
PVDI547-2024,01/01/2024,31/12/2026,Aprendizagem profissional de formadores e de futuros professores de matemática: constituindo comunidades de prática e de investigação.,"Projeto com financiamento externo, de outra instituição",CNPq,FLAVIA SUELI FABIANI MARCATTO,IMC,Vigente
PIDI496-2024,01/08/2024,31/07/2027,Aprendizagem profissional de formadores e de futuros professores de matemática: constituindo comunidades de prática e de investigação.,Projeto sem financiamento externo,Não possui,IVAN FELIPE SILVA DOS SANTOS,IRN,Vigente
PVDI497-2024,01/08/2024,31/07/2027,Modelagem e simulação computacional em sistemas de distribuição de água utilizando ferramentas visando melhoria da eficiência dos sistemas e conservação de água,Projeto sem financiamento externo,Não possui,FERNANDO DAS GRACAS BRAGA DA SILVA,IRN,Vigente
PVDI500-2024,01/08/2024,31/07/2027,"TEMAS SOCIOAMBIENTAIS, EDUCAÇÃO EM CIÊNCIAS E A FORMAÇÃO DO PROFISSIONAL DOCENTE: POSSÍVEIS RELAÇÕES NAS NOVAS DIRETRIZES E NA CURRICULARIZAÇÃO DA EXTENSÃO",Projeto sem financiamento externo,Não possui,JANAINA ROBERTA DOS SANTOS,IRN,Vigente
PIDI522-2024,01/08/2024,31/07/2027,Avaliação do desempenho de estações de tratamento de efluentes industriais e sanitários em Minas Gerais,Projeto sem financiamento externo,Não possui,ANDRE AGUIAR MENDES,IRN,Vigente
PVDI512-2024,01/08/2024,31/07/2027,Estudo de compósitos cimentícios autoadensáveis produzidos com materiais alternativos,Projeto sem financiamento externo,Não possui,VALQUIRIA CLARET DOS SANTOS,IRN,Vigente
PIDI487-2024,01/08/2024,31/07/2027,MATERIAIS LAMELARES A BASE DE ÓXIDO DE NIÓBIO (Nb2O5) INTERCALADOS COM POLÍMEROS CONDUTORES PARA A CONSTRUÇÃO DE SENSORES QUÍMICOS,Projeto sem financiamento externo,Não possui,FABIO DA SILVA LISBOA,IFQ,Vigente
PVDI486-2024,01/08/2024,31/07/2027,"Síntese e Caracterização de Novos Metalofármacos de Pd(II), Pt(II), Pt(IV) e In(III) derivados de ligantes sulfonilditiocarbimatos",Projeto sem financiamento externo,Não possui,EDER DO COUTO TAVARES,IFQ,Vigente
PVDI494-2024,01/08/2024,31/07/2027,Síntese Verde de Nanopartículas de dióxido de titânio para Fotocatálise Ambiental e Energética,Projeto sem financiamento externo,Não possui,ADHIMAR FLAVIO OLIVEIRA,IFQ,Vigente
PVDI499-2024,01/08/2024,31/07/2027,Caracterização dos conhecimentos de professores e futuros professores em processos formativos: uma análise a partir da Base de Conhecimentos para o Ensino,Projeto sem financiamento externo,Não possui,JOAO RICARDO NEVES DA SILVA,IFQ,Vigente
PVDI509-2024,01/08/2024,31/07/2027,Nos caminhos do discurso: sentidos da relação ser humano-natureza em trilhas ao ar livre,Projeto sem financiamento externo,Não possui,PAULO CEZAR NUNES JUNIOR,IFQ,Vigente
PVDI514-2024,01/08/2024,31/07/2027,A formação de sujeitos em Educação Ambiental: o discurso de professores em serviço e de licenciandos da área de Educação em Ciências.,Projeto sem financiamento externo,Não possui,WANDERSON RODRIGUES MORAIS,IFQ,Vigente
PVDI515-2024,01/08/2024,31/07/2027,A História da Ciência no Programa Nacional do Livro Didático: efeitos da Base Nacional Comum Curricular nos materiais didáticos do Ensino Médio,Projeto sem financiamento externo,Não possui,EVANDRO FORTES ROZENTALSKI,IFQ,Vigente
PVDI521-2024,01/08/2024,31/07/2027,Estruturas baseadas em materiais avançados para desenvolvimentos de novos dispositivos e aplicações,Projeto sem financiamento externo,Não possui,MARCELOS LIMA PERES,IFQ,Vigente
PVDI524-2024,01/08/2024,31/07/2027,"Entre trilhas, normas e documentos: um estudo terminológico para subsidir o projeto TrilhaZ",Projeto sem financiamento externo,Não possui,MARCIA DE SOUZA LUZ FREITAS,IFQ,Vigente
PVDI511-2024,01/08/2024,31/07/2027,SISTEMA INTELIGENTE PARA DETECÇÃO E IDENTIFICAÇÃO DE OBJETOS NO SOLO E PREVISÃO DE DESASTRES,Projeto sem financiamento externo,Não possui,ALEXANDRE CARLOS BRANDAO RAMOS,IMC,Vigente
PVDI507-2024,01/08/2024,31/07/2027,Desenvolvimento de veículos aéreos não tripulados autônomos para o setor agropecuário,Projeto sem financiamento externo,Não possui,BRUNO GUAZZELLI BATISTA,IMC,Vigente
PVDI505-2024,01/08/2024,31/07/2027,Retratos de Fase de Campos de Corrente,Projeto sem financiamento externo,Não possui,DENIS DE CARVALHO BRAGA,IMC,Vigente
PVDI504-2024,01/08/2024,31/07/2027,Tópicos Matemáticos em Cosmologia e Relatividade Geral,Projeto sem financiamento externo,Não possui,LEANDRO GUSTAVO GOMES,IMC,Vigente
PVDI520-2024,01/08/2024,31/07/2027,Ciclos limites em sistemas Hamiltonianos quadráticos suaves por partes,Projeto sem financiamento externo,Não possui,ALEXANDER FERNANDES DA FONSECA,IMC,Vigente
PVDI550-2024,01/09/2024,15/01/2027,Desenvolvimento e avaliação de um sistema de estimativa de biomassa ﬂorestal com o uso de sensores de baixo custo,Projeto com financiamento externo,FAPEMIG,ALEXANDRE CARLOS BRANDAO RAMOS,IMC,Vigente
PVDI560-2024,04/12/2023,31/12/2026,Análise de eficiência da valorização de resíduos de açaí para energia renovável utilizando secador rotativo,Projeto com financiamento externo,CNPq,HUGO PERAZZINI,IRN,Vigente
PVDI562-2024,05/11/2024,05/11/2028,"Impactos do aquecimento global de 1,5ºC, 2ºC e 3ºC na produtividade do café arábica no estado de Minas Gerais",Projeto com financiamento externo,FAPEMIG,FABRINA BOLZAN MARTINS,IRN,Vigente
